file,precision,registers,version,block,sort,kernel time,total time,memory
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,3,64,h,2593,5040,203696
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,3,64,H,2593,5041,203696
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,3,128,-,2599,4132,403808
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,3,128,w,2613,5489,403888
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,3,128,W,2511,5373,403888
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,3,128,h,2511,5392,403888
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,3,128,H,2511,5378,403888
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,4,64,-,2495,4040,103520
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,4,64,w,2510,5392,103600
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,4,64,W,2511,5384,103600
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,4,64,h,2511,5391,103600
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,4,64,H,2511,5383,103600
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,4,128,-,2496,4044,103520
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,4,128,w,2511,5388,103600
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,4,128,W,2511,5376,103600
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,4,128,h,2511,5388,103600
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,4,128,H,2511,5381,103600
0_UNIFORM_10000,float,-,1,64,-,15081,18600,16730092
0_UNIFORM_10000,float,-,1,64,w,15070,19586,16770092
0_UNIFORM_10000,float,-,1,64,W,15060,19538,16770092
0_UNIFORM_10000,float,-,1,64,h,15057,19539,16770092
0_UNIFORM_10000,float,-,1,64,H,15035,19515,16770092
0_UNIFORM_10000,float,-,1,128,-,15682,19137,16730092
0_UNIFORM_10000,float,-,1,128,w,15692,20174,16770092
0_UNIFORM_10000,float,-,1,128,W,15675,20152,16770092
0_UNIFORM_10000,float,-,1,128,h,15671,20157,16770092
0_UNIFORM_10000,float,-,1,128,H,15685,20176,16770092
0_UNIFORM_10000,float,-,2,64,-,8084,11668,16730092
0_UNIFORM_10000,float,-,2,64,w,8015,12624,16770092
0_UNIFORM_10000,float,-,2,64,W,7977,12584,16770092
0_UNIFORM_10000,float,-,2,64,h,8005,12609,16770092
0_UNIFORM_10000,float,-,2,64,H,7944,12549,16770092
0_UNIFORM_10000,float,-,2,128,-,6773,10367,16730092
0_UNIFORM_10000,float,-,2,128,w,6784,11496,16770092
0_UNIFORM_10000,float,-,2,128,W,6798,11403,16770092
0_UNIFORM_10000,float,-,2,128,h,6784,11396,16770092
0_UNIFORM_10000,float,-,2,128,H,6785,11390,16770092
