file,precision,registers,version,block,sort,kernel time,total time,memory
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,float,-,-,-,-,-,4625,-
0_UNIFORM_1_CALL_PUT_EU_Berm_US_oas,double,-,-,-,-,-,2659,-
0_UNIFORM_1000,float,-,-,-,-,-,144174,-
0_UNIFORM_1000,double,-,-,-,-,-,101786,-
0_UNIFORM_3000,float,-,-,-,-,-,423531,-
0_UNIFORM_3000,double,-,-,-,-,-,297397,-
0_UNIFORM_5000,float,-,-,-,-,-,729466,-
0_UNIFORM_5000,double,-,-,-,-,-,492252,-
0_UNIFORM_100000,float,-,-,-,-,-,14261639,-
0_UNIFORM_100000,double,-,-,-,-,-,9922180,-
1_RAND_100000,float,-,-,-,-,-,14024946,-
1_RAND_100000,double,-,-,-,-,-,9884072,-
2_RANDCONSTHEIGHT_100000,float,-,-,-,-,-,13532493,-
2_RANDCONSTHEIGHT_100000,double,-,-,-,-,-,9616153,-
4_SKEWED_1_100000,float,-,-,-,-,-,1420279,-
4_SKEWED_1_100000,double,-,-,-,-,-,1057011,-
4_SKEWED_5_100000,float,-,-,-,-,-,3052661,-
4_SKEWED_5_100000,double,-,-,-,-,-,2301650,-
4_SKEWED_1_65536,float,-,-,-,-,-,1012056,-
4_SKEWED_1_65536,double,-,-,-,-,-,729165,-
4_SKEWED_5_65536,float,-,-,-,-,-,2052886,-
4_SKEWED_5_65536,double,-,-,-,-,-,1521846,-
1_RAND_100000,float,-,-,-,-,-,15088312,-
1_RAND_100000,double,-,-,-,-,-,10890756,-
1_RAND_NORMH_100000,float,-,-,-,-,-,15378792,-
1_RAND_NORMH_100000,double,-,-,-,-,-,10249435,-
1_RAND_NORMW_100000,float,-,-,-,-,-,15921847,-
1_RAND_NORMW_100000,double,-,-,-,-,-,10904021,-
4_SKEWED_1_100000,float,-,-,-,-,-,799508,-
4_SKEWED_1_100000,double,-,-,-,-,-,728718,-
4_SKEWED_INV_1_100000,float,-,-,-,-,-,270865,-
4_SKEWED_INV_1_100000,double,-,-,-,-,-,260023,-
