file,precision,registers,version,block,sort,kernel time,total time,memory
4_SKEWED_1_65536,double,-,4,128,w,1773309,1781330,316510398
4_SKEWED_1_65536,double,-,4,128,h,1978878,1987017,317198526
1_RAND_100000,float,-,1,64,-,82616610,82620225,900011962
1_RAND_100000,float,-,1,64,w,92890153,92901570,900411962
1_RAND_100000,float,-,1,64,h,91457476,91468704,900411962
1_RAND_100000,float,-,1,128,-,81374470,81378062,900011962
1_RAND_100000,float,-,1,128,w,92720221,92731421,900411962
1_RAND_100000,float,-,1,128,h,90914988,90926189,900411962
1_RAND_100000,float,-,2,64,-,56080942,56085767,1742609338
1_RAND_100000,float,-,2,64,w,22437024,22449415,1743009338
1_RAND_100000,float,-,2,64,h,31915157,31927547,1743009338
1_RAND_100000,float,-,2,128,-,56086641,56091435,1742609338
1_RAND_100000,float,-,2,128,w,22345179,22357589,1743009338
1_RAND_100000,float,-,2,128,h,31702377,31714864,1743009338
1_RAND_100000,float,-,3,64,-,32145001,32150272,1722371326
1_RAND_100000,float,-,3,64,w,12140438,12151962,970733438
1_RAND_100000,float,-,3,64,h,17700874,17712406,973304702
1_RAND_100000,float,-,3,128,-,32095780,32100368,1735766882
1_RAND_100000,float,-,3,128,w,11918899,11929944,1030221282
1_RAND_100000,float,-,3,128,h,17267965,17279055,1042165218
1_RAND_100000,float,-,4,64,-,32203948,32209117,1696550582
1_RAND_100000,float,-,4,64,w,11638789,11650305,936320310
1_RAND_100000,float,-,4,64,h,18949081,18960595,937192758
1_RAND_100000,float,-,4,128,-,32110149,32115285,1696550582
1_RAND_100000,float,-,4,128,w,11656940,11668506,936320310
1_RAND_100000,float,-,4,128,h,18704946,18716517,937192758
1_RAND_100000,double,-,1,64,-,76872277,76877196,1786742762
1_RAND_100000,double,-,1,64,w,91937205,91950246,1787142762
1_RAND_100000,double,-,1,64,h,90123533,90136767,1787142762
1_RAND_100000,double,-,1,128,-,75289103,75294123,1786742762
1_RAND_100000,double,-,1,128,w,91221550,91234773,1787142762
1_RAND_100000,double,-,1,128,h,89060158,89073504,1787142762
terminate called after throwing an instance of 'thrust::system::system_error'
  what():  parallel_for failed: out of memory
4_SKEWED_1_100000,float,-,1,64,-,5020748,5023427,239327356
4_SKEWED_1_100000,float,-,1,64,w,6911991,6922283,239727356
4_SKEWED_1_100000,float,-,1,64,h,6787205,6797524,239727356
4_SKEWED_1_100000,float,-,1,128,-,5175381,5178043,239327356
4_SKEWED_1_100000,float,-,1,128,w,6695506,6705852,239727356
4_SKEWED_1_100000,float,-,1,128,h,6786404,6796616,239727356
4_SKEWED_1_100000,float,-,2,64,-,8526711,8531411,1721995276
4_SKEWED_1_100000,float,-,2,64,w,2034830,2047281,1722395276
