file,precision,registers,version,block,sort,kernel time,total time,memory
0_UNIFORM_1000,double,32,1,512,h,144006,144897,5387152
0_UNIFORM_1000,double,32,1,512,H,143922,144797,5387152
0_UNIFORM_1000,double,32,1,1024,-,159532,160170,5382156
0_UNIFORM_1000,double,32,1,1024,h,159361,160264,5386152
0_UNIFORM_1000,double,32,1,1024,H,159509,160393,5386152
0_UNIFORM_1000,double,32,2,512,-,143765,144327,5383156
0_UNIFORM_1000,double,32,2,512,h,143684,144570,5387152
0_UNIFORM_1000,double,32,2,512,H,143777,144655,5387152
0_UNIFORM_1000,double,32,2,1024,-,158649,159208,5382156
0_UNIFORM_1000,double,32,2,1024,h,158593,159469,5386152
0_UNIFORM_1000,double,32,2,1024,H,158704,159606,5386152
0_UNIFORM_1000,double,32,3,512,-,147909,148462,5385156
0_UNIFORM_1000,double,32,3,512,h,147669,148505,5389152
0_UNIFORM_1000,double,32,3,512,H,147602,148444,5389152
0_UNIFORM_1000,double,32,3,1024,-,162660,163175,5383156
0_UNIFORM_1000,double,32,3,1024,h,162707,163539,5387152
0_UNIFORM_1000,double,32,3,1024,H,162560,163470,5387152
0_UNIFORM_3000,float,-,1,512,-,223418,224015,8277096
0_UNIFORM_3000,float,-,1,512,h,223453,225138,8289092
0_UNIFORM_3000,float,-,1,512,H,223157,224656,8289092
0_UNIFORM_3000,float,-,1,1024,-,243282,243900,8274096
0_UNIFORM_3000,float,-,1,1024,h,243394,244867,8286092
0_UNIFORM_3000,float,-,1,1024,H,243314,244870,8286092
0_UNIFORM_3000,float,-,2,512,-,224424,225030,8277096
0_UNIFORM_3000,float,-,2,512,h,224296,225780,8289092
0_UNIFORM_3000,float,-,2,512,H,224579,226049,8289092
0_UNIFORM_3000,float,-,2,1024,-,244659,245256,8274096
0_UNIFORM_3000,float,-,2,1024,h,244769,246241,8286092
0_UNIFORM_3000,float,-,2,1024,H,244663,246130,8286092
0_UNIFORM_3000,float,-,3,512,-,223516,224117,8283096
0_UNIFORM_3000,float,-,3,512,h,223413,224830,8295092
0_UNIFORM_3000,float,-,3,512,H,223579,225011,8295092
0_UNIFORM_3000,float,-,3,1024,-,243227,243778,8277096
0_UNIFORM_3000,float,-,3,1024,h,243307,244714,8289092
0_UNIFORM_3000,float,-,3,1024,H,243385,244801,8289092
0_UNIFORM_3000,float,32,1,512,-,169628,170241,8277096
0_UNIFORM_3000,float,32,1,512,h,169387,170887,8289092
0_UNIFORM_3000,float,32,1,512,H,169321,170810,8289092
0_UNIFORM_3000,float,32,1,1024,-,189213,189815,8274096
0_UNIFORM_3000,float,32,1,1024,h,189522,191024,8286092
0_UNIFORM_3000,float,32,1,1024,H,189284,190799,8286092
0_UNIFORM_3000,float,32,2,512,-,171102,171715,8277096
0_UNIFORM_3000,float,32,2,512,h,170973,172475,8289092
0_UNIFORM_3000,float,32,2,512,H,170839,172320,8289092
0_UNIFORM_3000,float,32,2,1024,-,190400,191004,8274096
0_UNIFORM_3000,float,32,2,1024,h,191089,192559,8286092
0_UNIFORM_3000,float,32,2,1024,H,190590,192080,8286092
0_UNIFORM_3000,float,32,3,512,-,180340,180898,8283096
0_UNIFORM_3000,float,32,3,512,h,181054,182522,8295092
0_UNIFORM_3000,float,32,3,512,H,180453,181899,8295092
0_UNIFORM_3000,float,32,3,1024,-,202340,202949,8277096
0_UNIFORM_3000,float,32,3,1024,h,203279,204705,8289092
0_UNIFORM_3000,float,32,3,1024,H,203414,204860,8289092
terminate called after throwing an instance of 'thrust::system::system_error'
  what():  radix_sort: failed to get memory buffer: too many resources requested for launch
0_UNIFORM_3000,double,-,1,512,-,567572,568200,16149156
0_UNIFORM_3000,double,-,1,512,h,567913,569150,16161152
0_UNIFORM_3000,double,-,1,512,H,567836,569060,16161152
0_UNIFORM_3000,double,32,1,512,-,429646,430274,16149156
0_UNIFORM_3000,double,32,1,512,h,428821,430069,16161152
0_UNIFORM_3000,double,32,1,512,H,428873,430159,16161152
0_UNIFORM_3000,double,32,1,1024,-,479578,480194,16146156
0_UNIFORM_3000,double,32,1,1024,h,479094,480350,16158152
0_UNIFORM_3000,double,32,1,1024,H,479490,480699,16158152
0_UNIFORM_3000,double,32,2,512,-,428840,429471,16149156
0_UNIFORM_3000,double,32,2,512,h,429707,430957,16161152
0_UNIFORM_3000,double,32,2,512,H,429771,431001,16161152
0_UNIFORM_3000,double,32,2,1024,-,477038,477651,16146156
0_UNIFORM_3000,double,32,2,1024,h,476947,478187,16158152
0_UNIFORM_3000,double,32,2,1024,H,477010,478276,16158152
0_UNIFORM_3000,double,32,3,512,-,443028,443602,16155156
0_UNIFORM_3000,double,32,3,512,h,443099,444289,16167152
0_UNIFORM_3000,double,32,3,512,H,443107,444311,16167152
0_UNIFORM_3000,double,32,3,1024,-,488267,488836,16149156
0_UNIFORM_3000,double,32,3,1024,h,488484,489712,16161152
0_UNIFORM_3000,double,32,3,1024,H,488527,489723,16161152
0_UNIFORM_5000,float,-,1,512,-,369940,370566,13795096
0_UNIFORM_5000,float,-,1,512,h,369623,370919,13815092
0_UNIFORM_5000,float,-,1,512,H,369859,371090,13815092
0_UNIFORM_5000,float,-,1,1024,-,402460,403083,13790096
0_UNIFORM_5000,float,-,1,1024,h,402531,403780,13810092
0_UNIFORM_5000,float,-,1,1024,H,402657,403864,13810092
0_UNIFORM_5000,float,-,2,512,-,371614,372262,13795096
0_UNIFORM_5000,float,-,2,512,h,371884,373166,13815092
0_UNIFORM_5000,float,-,2,512,H,371885,373091,13815092
0_UNIFORM_5000,float,-,2,1024,-,403384,403999,13790096
0_UNIFORM_5000,float,-,2,1024,h,403675,404865,13810092
0_UNIFORM_5000,float,-,2,1024,H,404107,405304,13810092
0_UNIFORM_5000,float,-,3,512,-,369183,369802,13805096
0_UNIFORM_5000,float,-,3,512,h,369511,370843,13825092
0_UNIFORM_5000,float,-,3,512,H,369418,370610,13825092
0_UNIFORM_5000,float,-,3,1024,-,401766,402346,13795096
0_UNIFORM_5000,float,-,3,1024,h,401527,402705,13815092
0_UNIFORM_5000,float,-,3,1024,H,401379,402560,13815092
0_UNIFORM_5000,float,32,1,512,-,279327,279947,13795096
0_UNIFORM_5000,float,32,1,512,h,279261,280552,13815092
0_UNIFORM_5000,float,32,1,512,H,278526,279818,13815092
0_UNIFORM_5000,float,32,1,1024,-,312684,313335,13790096
0_UNIFORM_5000,float,32,1,1024,h,312485,313740,13810092
0_UNIFORM_5000,float,32,1,1024,H,312644,313899,13810092
0_UNIFORM_5000,float,32,2,512,-,281533,282184,13795096
0_UNIFORM_5000,float,32,2,512,h,281787,283056,13815092
0_UNIFORM_5000,float,32,2,512,H,281818,283090,13815092
0_UNIFORM_5000,float,32,2,1024,-,315319,315969,13790096
0_UNIFORM_5000,float,32,2,1024,h,315315,316574,13810092
0_UNIFORM_5000,float,32,2,1024,H,315147,316424,13810092
0_UNIFORM_5000,float,32,3,512,-,298525,299147,13805096
0_UNIFORM_5000,float,32,3,512,h,299359,300592,13825092
0_UNIFORM_5000,float,32,3,512,H,298863,300131,13825092
0_UNIFORM_5000,float,32,3,1024,-,335035,335651,13795096
0_UNIFORM_5000,float,32,3,1024,h,335216,336459,13815092
0_UNIFORM_5000,float,32,3,1024,H,335008,336255,13815092
